city	n_records	grade	method	confidence	kima_id	kima_name_rom	kima_lat	kima_lon	geo_audit	religion_mix	proposed_decision	your_decision	your_kima_id	note	candidates
Jenin S/D	3	C_review		0.0					no-candidate	Muslim 3					
Naqoura	3	C_review		0.0					no-candidate	Muslim 2, Christian 1					
Gdeideh	3	C_review	fuzzy	1.0					no-candidate	Muslim 3					1661
Tulkarm|Tul-Karm	3	C_review	fuzzy	1.0					no-candidate	Christian 3					73472|81810
Jenin|C.M.F. Jenin	3	C_review	fuzzy	1.0					no-candidate	Christian 3					79775|10532|10559|71563|7069
Ramtha	3	C_review	fuzzy	1.0					no-candidate	Muslim 3					69636|70876
Lebanon	3	C_review	name_ambiguous	0.5					no-candidate	Muslim 3					7242|10296|12973
Saffuriya	3	C_review	fuzzy	1.0					no-candidate	Muslim 3					85997|406|3544
Baqa al-Gharbiyye	3	C_review		0.0					no-candidate	Muslim 2, Christian 1					
Beersheba	3	C_review	fuzzy	1.0					no-candidate	Muslim 3					699|27053|21851|21173
Saideh	3	C_review	fuzzy	1.0					no-candidate	Muslim 3					2021|15925|13639|78588
Lajoun	3	C_review	fuzzy	1.0					no-candidate	Muslim 3					84907
Yanouh	3	C_review		0.0					no-candidate	Not recorded 3					
Salameh	3	C_review	fuzzy	1.0					no-candidate	Christian 3					22997|5610|21235|3912|7056
Nawa	3	C_review		0.0					no-candidate	Muslim 3					
