n	id	date	publication	title	snippet
59	hmf19451211-01.2.38	11 December 1945	hmf	mi ונהרג ערבי שביקש לקנות נשק במחנה צבאי	"<div class=""txtsearchsnippet"">... במקום. רובה שני מתוצרת בית נמצא כעבור שעה בקרבת <b class=""highlightcolor"">ביה""ח הממשלתי</b> בבית־לחם.</div>"
60	haretz19440623-01.2.47.4	23 June 1944	haretz	Page 6 Advertisements Column 4	"<div class=""txtsearchsnippet"">... ונוחיות, גינה יפה, דמי שכירות חדשי 4 לירות, בסביבת <b class=""highlightcolor"">ביה""ח הממשלתי,</b> להחליף בדירה דומה במרכז מסחרי. בונופולםקי . בן-יחודח ...</div>"
61	hbkr19460911-01.2.51	11 September 1946	hbkr	"נכשל נםיון להתפרץ לביה""ח הממשלתי בחיפה"	"<div class=""txtsearchsnippet"">... של הסוכנות בעתלית לרגל מתלתן, הועברו למהלקה הפנימית של <b class=""highlightcolor"">ביה־ח הממשלתי</b> אתמול. שמותיהן: פגיה ןןדצברג, בת ‭, 21‬ ורווה ...</div>"
62	hbkr19380511-01.2.71	11 May 1938	hbkr	&#8237;$*#2* &#8236;	"<div class=""txtsearchsnippet"">... . פר-דנשל"". לבסיף הה־ לט לסלול את הכביש אל <b class=""highlightcolor"">ביה""ח הממשלתי</b> החדש הסמיך לבת־גאס בסכום של 800 לאיי שעבודה ...</div>"
63	haretz19330621-01.2.40	21 June 1933	haretz	בירושלם	"<div class=""txtsearchsnippet"">... זרעין, מתוך האוטו אל מעבר לגשר. הפצוע הועבר אל <b class=""highlightcolor"">ביה״ח הממשלתי</b> ושם מת. הנהג נאסר. תשונה על ""עבודה זרה ...</div>"
64	ahr19471214-01.2.54	14 December 1947	ahr	13 ערבים נהרגו _בםידח	"<div class=""txtsearchsnippet"">... ע""י אחד מארגוני הפירור. ערבים מהככר החזירו אש אל <b class=""highlightcolor"">ביה""ח הממשלתי</b> הובאו חמישה הרוגים, מהם שני ילדים בני שנתיים ...</div>"
65	hmf19460222-01.2.68	22 February 1946	hmf	"מם&נת &#8237;""עגן-""'&#8236; בחיפה עלתה באש"	"<div class=""txtsearchsnippet"">... של ""סולל ‭, ""בונה‬ _הכמצאח בשטח הנמל המערבי, ליד <b class=""highlightcolor"">ביה""ח הממשלתי</b> בחיפה, עלתה באש ביוב ד' ב־‭10. 30‬ בערב. ...</div>"
66	ahr19470406-01.2.64	6 April 1947	ahr	ננ₪ שורות	"<div class=""txtsearchsnippet"">... ימונים כתגובה על פיצוץ הבאר בקרית־חיים — נאסף אל <b class=""highlightcolor"">ביה""ח הממשלתי</b> בתיפה. נגרם לו שבר בעצמות ר‭', ‬־די0 _ופצע־פ ...</div>"
67	ahr19471106-01.2.61	6 November 1947	ahr	"אשמה בבדה כלפי ב""ת־החולים ה&#8237;»>1&#8236;שלתי מפי ש_1פט בחיפה"	"<div class=""txtsearchsnippet"">... השבועות האתרוגים, שפצועים מאבדים את חייהם בגלל רשלנות מצד <b class=""highlightcolor"">ביה""ח הממשלתי""</b> — אמר היום בביה""ד המחוזי השופט חליל שיחאדה‭"". ...</div>"
68	ahr19471120-01.2.52	20 November 1947	ahr	בנמר!שוחת	"<div class=""txtsearchsnippet"">... מטר, נטול הכרה נאסף ע""י ט. ד. א. אל <b class=""highlightcolor"">ביה""ח הממשלתי.</b></div>"
69	haretz19381003-01.2.75	3 October 1938	haretz	הלויתו של הלצין בירטש בירושלים	"<div class=""txtsearchsnippet"">... אהה""צ הועבר ארונו עטוף דגל בריטי מחדר המתים '8ל <b class=""highlightcolor"">ביה""ח הממשלתי</b> לבית־הקב־ות שעל הד־ציון, במקום שחיכו להיו־ה פיוגת שוב—ם ...</div>"
70	hmf19480318-01.2.71	18 March 1948	hmf	"עבדול האדר: רצוני לפוצץ את ביה_""ה»הדםה» והאוניברסיטה"	"<div class=""txtsearchsnippet"">... 11 בבוקר בשכונת קטמון ע""י כדור. הוא נלקח 'ל־ <b class=""highlightcolor"">ביה""ח הממשלתי.</b> מצבו אינו רציני. יריות אל משוריין'משטרה מכונית משוריינת ...</div>"
71	hmf19480119-01.2.66	19 January 1948	hmf	7 ערבים: נהרגו בפעולת־עונשין	"<div class=""txtsearchsnippet"">... שסבורים כי היו _יהה־יס. הערבים * הפצועים הועברו. ל־ <b class=""highlightcolor"">ביה""ח . הממשלתי</b> ביפו.</div>"
72	ahr19471207-01.2.46	7 December 1947	ahr	"'רות !הצתות בונוצ""ש בחיפה"	"<div class=""txtsearchsnippet"">... פצעים בבטנו ובידיו. במצב קשה נאספו ל1ני הפצועים אל <b class=""highlightcolor"">ביה""ח הממשלתי.</b></div>"
73	tsohorayimhaifa19460502-01.2.14	2 May 1946	tsohorayimhaifa	.ס!■®■?•	"<div class=""txtsearchsnippet"">... שרוב תושביה עצורים מאז פרוץ המלחמה האחרונה. כשנשאלה הנהלת <b class=""highlightcolor"">ביה״ח הממשלתי</b> אם ידוע לה הדבר, ניתנה תשובה, כי מה ...</div>"
