date	pub	page_id	disease	term	haifa	dateline	hospital	epidemic_words	soft_term	window	reg_before	reg_after	reg_deaths_before	reg_coverage	surge	days_after_surge	lead_lag
1941-05-01	difaa	difaa19410501-01.1.3	typhoid	التيفوييد	page					…والتجاريه- ١١ اناشيد - ١١,٢٥ اسطوانات - ٢,٣٠ رياض السنباطي حفله غناييه - ٢٥٥ اسطوانات - ٣ سلام ختصام - وزاره الصحصه مناقشه بين طبيب و محام انتشار حمي التيفوييد ۷ قران كريم - ٧,٣٠ اسطوانات تركيه - ١٥ ٨ فاطمه الجمال حديث : ٨,٢٥ اسطوانات - ٨,٣٠ النشره الاخباريه الانسه ام كلثوم حفله غناييه كبري فءاد صروف حدیث خل…							
1941-05-08	difaa	difaa19410508-01.1.2	typhoid	التيفوييد	page			y		…ديه القدس وبعد ان يجتمع ببعض المسيولين في بلديه يافا يقوم ورييس واعضاء اللجنه والدكتور موري رييس اطباء اللواء بجوله علي المنطقه التي كثرت فيها اصابات التيفوييد في محله العجمي ومن ثم يعودون الي دايره حاكم اللواء الاجتماع بسعادته واطلاعه علي نتايج الجوله لاتخاذ الترتيبات اللازمه ازاء هذه المساله…							
1941-05-08	difaa	difaa19410508-01.1.2	plague	بالطاعون	dateline	Haifa		y		…ترحات الضروريه تطهير احد عنابر الجمرك حضر بعض رجال الصحه الي احد عنابر الجمرك للاشراف علي حركه تطهير العنبر من جراء وجود كميات كبيره من الجره المصابه بالطاعون بين البضايع فيه وقد اهتمت دايره الجزك في الامر وشرعت تسجل اسماء الداخلين الي الميناء مخافه اصابه احدهم بمرض الطاعون وتفشي الوباء ، وقد اقفل العنبر منذ امس الاول الحكم علي اشخاص يلعبون القار عرضت امام القاضي البريطاني صباح اليوم قضيه شخصين هما جريس نقولا ويوسف علام …	0	0	0	absent			no-register-coverage
1941-05-13	difaa	difaa19410513-01.1.2	typhoid	التيفوييد	page			y		…المكافحه اصابات التيفوييد قامت الجنه من الساده الوجيه علي افندي المستقيم رييس لجنه البلديه بالوكاله ، مسعود افندي الدرعلي ، ماير | افندي المزاق ، المستر موري رييس اطباء اللواء…							
1941-05-13	difaa	difaa19410513-01.1.2	typhoid	التيفوييد	page			y		…ه القدس، والمستر كوز لفسكي نايب مهندس المجاري في البلديه ، بالكشف علي منطقه العجمي التحتا الواقعه بين مقام العجمي والكازخانه ولاتي تعددت حوادث اصابات التيفوييد فيها للوقوف علي حالتها الصحيه واتخاذ الترتيبات لانشاء مجار عموميه وبعد ان تجولت اللجنه في معظم احياء المنطقه عادت الي دايره حاكم اللواء حيث اجتمعت بس…							
1941-06-04	difaa	difaa19410604-01.1.3	plague	الطاعون	dateline	Haifa	y	y		…عو عبد علي في طريق شارع الملوك فاصيب بجراح نقل علي اثرها الي المستشفي الاحتياطات الصحيه في الجمرك اتخذت الاحتياطات الكافيه في الجمرك لمنع انتشار وباء الطاعون واباده الفيران والجرذ من بين البضايع المكدسه في المنابر ، وقد عين بعض الموظفين التدوين اسماء الداخلين الي الجمرك وتسليمهم اوراقا يضطرون بموجبها الي ا…	0	0	0	absent			no-register-coverage
1941-06-06	difaa	difaa19410606-01.1.3	typhoid	التيفوييد	other:Jerusalem	Jerusalem		y		…ذا كان من ا التجار او وجهاء القريه يحاكم علي كل قريه ان تقدم اسماء لجنه المراقبه حالا وبدون تاخير والسلام عليكم. التوقيع في ٤-٦-٩٤١ تطعيم التلامذه ضد التيفوييد اخذت اداره الصحه العامه في تطعيم تلامذه بعض المدارس ضد حمي التيفوييد ، فحبذا لو عممت الاداره هذا العمل وقايه لجميع الاهالي من هذا المرض الساري الخطر اتخاذ عماره ملجا للوقايه تقرر اتخاذ عماره الساده حلي اخوان الكبيره ، …							
1941-07-24	difaa	difaa19410724-01.1.2	typhus	التيفوس	window			y		…ها د علي ٥٠٠ كيلو غرام ه الامراض الساريه ) اصابه بمرض الطاعون في حيفا ، كما وقعت وقعت في فلسطين يوم ١٣ الجاري في مختلف انحاء البلاد ۱۱ اصابه بمرض ا ه التيفوس جميعها في المستعمرات اليهوديه براق وهلات يتسمان و رخوفوت بي ا قايد عسكري اصدر القايد العام للجيوش البريطانيه في فلسطين وشرق الاردن امرا بتعيين ا - ال…	0	0	0	absent			no-register-coverage
1941-07-24	difaa	difaa19410724-01.1.2	plague	الطاعون	window			y		…م ، اما السياره التي تنقل : او ٦ ا ركاب فيحق لها ان تستعمل كسياره ا شحن لنقل مشحونات لا يزيد وزنها د علي ٥٠٠ كيلو غرام ه الامراض الساريه ) اصابه بمرض الطاعون في حيفا ، كما وقعت وقعت في فلسطين يوم ١٣ الجاري في مختلف انحاء البلاد ۱۱ اصابه بمرض ا ه التيفوس جميعها في المستعمرات اليهوديه براق وهلات يتسمان و رخو…	0	0	0	absent			no-register-coverage
1941-08-01	difaa	difaa19410801-01.1.2	plague	الطاعون	page			y		…تعديل قانون الرهنيات - اجور الباصات استيصال وباء الطاعون - مسايل التعامل…							
